# 3.3um filter 
# JDSU catalog + W03311-6
#
# from t10.fig
#
2.6 0.295122867370278
2.61 0.28319025454602
2.62 0.272630951381442
2.63 0.263361001980876
2.64 0.255296450448652
2.65 0.248353340889098
2.66 0.242447717406546
2.67 0.237495624105324
2.68 0.233413105089763
2.69 0.230116204464193
2.7 0.227520966332943
2.71 0.225543434800343
2.72 0.224099653970723
2.73 0.223105667948413
2.74 0.222477520837743
2.75 0.222131256743042
2.76 0.22198291976864
2.77 0.221948554018868
2.78 0.222269484036187
2.79 0.224071281371331
2.8 0.227500257143057
2.81 0.232604822834183
2.82 0.239433389927528
2.83 0.248034369905909
2.84 0.258456174252146
2.85 0.270747214449057
2.86 0.284955901979461
2.87 0.301130648326175
2.88 0.319319864972019
2.89 0.339571963399811
2.9 0.361935355092369
2.91 0.386458451532513
2.92 0.413189664203059
2.93 0.442177404586829
2.94 0.473470084166637
2.95 0.507116114425306
2.96 0.54316390684565
2.97 0.581661872910492
2.98 0.628743947870452
2.99 0.73102114225609
3 0.897212927653753
3.01 1.12608166590558
3.02 1.41638971885368
3.03 1.7668994483402
3.04 2.17637321620723
3.05 2.79856777058437
3.06 3.92244357604112
3.07 5.52155305832551
3.08 8.4217357823142
3.09 13.0888042580276
3.1 21.6814750625934
3.11 32.4220193342001
3.12 45.8406449929557
3.13 61.7142190612946
3.14 75.5888168359558
3.15 83.3334579431273
3.16 87.8312803607572
3.17 89.073691948042
3.18 88.6042276787801
3.19 87.8089806949009
3.2 87.2121526010591
3.21 87.2000401001097
3.22 87.2051158042803
3.23 87.3341085486943
3.24 87.9341452167005
3.25 88.6146263343951
3.26 88.9766056199424
3.27 89.2352529132396
3.28 89.4467495540511
3.29 89.5810494495534
3.3 89.6031371386464
3.31 89.4146387482882
3.32 89.0309350287693
3.33 88.5097446753697
3.34 87.9087863833696
3.35 87.285778848049
3.36 86.4964395862596
3.37 85.4797093623545
3.38 84.4747438771658
3.39 83.6539827784894
3.4 82.8405787932846
3.41 82.3970883789432
3.42 82.5240332389306
3.43 82.9351309189099
3.44 83.5486609478037
3.45 85.205878910325
3.46 87.2397972094999
3.47 88.8584765226862
3.48 88.8480651237901
3.49 87.5839699397049
3.5 79.9831044866313
3.51 69.6649937003501
3.52 56.7832361107135
3.53 42.9413767540598
3.54 29.9689264320947
3.55 19.6953959465214
3.56 13.1050538797529
3.57 8.1664422963029
3.58 5.44373269417938
3.59 3.94243263630703
3.6 2.99807881147978
3.61 2.29793312931487
3.62 1.72056088745931
3.63 1.26875027469244
3.64 0.945289479793646
3.65 0.71860958175964
3.66 0.512978777364434
3.67 0.333039784330673
3.68 0.186926188961923
3.69 0.0827715775617657
3.7 0.0287095364337726
3.71 0.0217714635362858
3.72 0.0199236259623912
3.73 0.0181797918107062
3.74 0.0165371122680644
3.75 0.0149927385212992
3.76 0.013543821757244
3.77 0.0121875131627323
3.78 0.0109209639245976
3.79 0.00974132522967352
3.8 0.00864574826479343
3.81 0.00763138421679078
3.82 0.00669538427249911
3.83 0.00583489961875194
3.84 0.00504708144238271
3.85 0.00432908093022489
3.86 0.00367804926911198
3.87 0.0030911376458775
3.88 0.00256549724735491
3.89 0.00209827926037768
3.9 0.00168663487177931
3.91 0.00132771526839331
3.92 0.00101867163705313
3.93 0.000756655164592272
3.94 0.000538817037844214
3.95 0.000362308443642451
3.96 0.000224280568820467
3.97 0.000121884600211741
3.98 5.22717246497634e-05
3.99 1.2593128968022e-05
