#
# Generated by M. Cushing, Mon May 18 15:56:03 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1.3, with a precipitable water vapor of 1 mm,
# and is meant to match the WFCAM filter system response functions
# given in Hewett et al. (2006, MNRAS, 367, 454).  The transmission
# spectrum was smoothed to R=2000 and resampled to 2 pixels per
# resolution element.  The filter transmission function was then
# resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            3.5114889         0.842
            3.5123667         0.853
            3.5132448         0.868
            3.5141231         0.868
            3.5150017         0.868
            3.5158804         0.869
            3.5167594         0.869
            3.5176386         0.870
            3.5185180         0.865
            3.5193976         0.862
            3.5202775         0.860
            3.5211575         0.859
            3.5220378         0.860
            3.5229183         0.858
            3.5237991         0.861
            3.5246800         0.859
            3.5255612         0.851
            3.5264426         0.837
            3.5273242         0.822
            3.5282060         0.826
            3.5290881         0.839
            3.5299703         0.847
            3.5308528         0.832
            3.5317355         0.823
            3.5326185         0.818
            3.5335016         0.810
            3.5343850         0.803
            3.5352686         0.753
            3.5361524         0.745
            3.5370365         0.801
            3.5379207         0.814
            3.5388052         0.770
            3.5396899         0.754
            3.5405748         0.762
            3.5414600         0.767
            3.5423453         0.770
            3.5432309         0.777
            3.5441167         0.797
            3.5450028         0.796
            3.5458890         0.794
            3.5467755         0.798
            3.5476622         0.789
            3.5485491         0.805
            3.5494362         0.820
            3.5503236         0.823
            3.5512112         0.828
            3.5520990         0.823
            3.5529870         0.810
            3.5538752         0.792
            3.5547637         0.792
            3.5556524         0.810
            3.5565413         0.827
            3.5574304         0.833
            3.5583198         0.831
            3.5592094         0.821
            3.5600992         0.811
            3.5609892         0.829
            3.5618795         0.845
            3.5627699         0.846
            3.5636606         0.832
            3.5645515         0.808
            3.5654427         0.801
            3.5663340         0.794
            3.5672256         0.788
            3.5681174         0.804
            3.5690095         0.811
            3.5699017         0.813
            3.5707942         0.819
            3.5716869         0.803
            3.5725798         0.794
            3.5734729         0.779
            3.5743663         0.771
            3.5752599         0.789
            3.5761537         0.810
            3.5770478         0.828
            3.5779420         0.835
            3.5788365         0.838
            3.5797312         0.834
            3.5806261         0.814
            3.5815213         0.796
            3.5824167         0.821
            3.5833123         0.844
            3.5842081         0.833
            3.5851042         0.812
            3.5860004         0.804
            3.5868969         0.809
            3.5877937         0.820
            3.5886906         0.844
            3.5895878         0.849
            3.5904852         0.844
            3.5913828         0.839
            3.5922807         0.833
            3.5931787         0.836
            3.5940770         0.854
            3.5949755         0.867
            3.5958743         0.864
            3.5967733         0.857
            3.5976724         0.862
            3.5985719         0.871
            3.5994715         0.868
            3.6003714         0.857
            3.6012715         0.862
            3.6021718         0.876
            3.6030723         0.878
            3.6039731         0.868
            3.6048741         0.849
            3.6057753         0.836
            3.6066768         0.807
            3.6075784         0.795
            3.6084803         0.833
            3.6093824         0.866
            3.6102848         0.870
            3.6111874         0.865
            3.6120901         0.859
            3.6129932         0.859
            3.6138964         0.864
            3.6147999         0.881
            3.6157036         0.889
            3.6166075         0.879
            3.6175117         0.875
            3.6184160         0.884
            3.6193207         0.886
            3.6202255         0.887
            3.6211305         0.887
            3.6220358         0.889
            3.6229413         0.893
            3.6238471         0.894
            3.6247530         0.881
            3.6256592         0.851
            3.6265656         0.832
            3.6274723         0.830
            3.6283791         0.862
            3.6292862         0.894
            3.6301936         0.896
            3.6311011         0.883
            3.6320089         0.883
            3.6329169         0.894
            3.6338251         0.891
            3.6347336         0.881
            3.6356423         0.880
            3.6365512         0.888
            3.6374603         0.898
            3.6383697         0.905
            3.6392793         0.901
            3.6401891         0.898
            3.6410991         0.901
            3.6420094         0.904
            3.6429199         0.906
            3.6438306         0.906
            3.6447416         0.891
            3.6456528         0.858
            3.6465642         0.822
            3.6474758         0.816
            3.6483877         0.858
            3.6492998         0.895
            3.6502121         0.897
            3.6511247         0.890
            3.6520375         0.894
            3.6529505         0.899
            3.6538637         0.902
            3.6547772         0.904
            3.6556909         0.907
            3.6566048         0.908
            3.6575189         0.908
            3.6584333         0.909
            3.6593479         0.910
            3.6602628         0.908
            3.6611778         0.903
            3.6620931         0.901
            3.6630086         0.898
            3.6639244         0.899
            3.6648404         0.906
            3.6657566         0.898
            3.6666730         0.853
            3.6675897         0.813
            3.6685066         0.845
            3.6694237         0.889
            3.6703411         0.890
            3.6712587         0.867
            3.6721765         0.852
            3.6730945         0.854
            3.6740128         0.850
            3.6749313         0.843
            3.6758500         0.841
            3.6767690         0.863
            3.6776882         0.881
            3.6786076         0.883
            3.6795273         0.882
            3.6804471         0.882
            3.6813673         0.882
            3.6822876         0.883
            3.6832082         0.882
            3.6841290         0.887
            3.6850500         0.896
            3.6859713         0.887
            3.6868928         0.855
            3.6878145         0.841
            3.6887364         0.862
            3.6896586         0.886
            3.6905810         0.893
            3.6915037         0.889
            3.6924266         0.884
            3.6933497         0.885
            3.6942730         0.888
            3.6951966         0.889
            3.6961204         0.886
            3.6970444         0.882
            3.6979687         0.884
            3.6988931         0.888
            3.6998179         0.889
            3.7007428         0.892
            3.7016680         0.898
            3.7025934         0.898
            3.7035191         0.895
            3.7044450         0.889
            3.7053711         0.884
            3.7062974         0.876
            3.7072240         0.871
            3.7081508         0.871
            3.7090778         0.856
            3.7100051         0.853
            3.7109326         0.868
            3.7118603         0.874
            3.7127883         0.864
            3.7137165         0.854
            3.7146449         0.858
            3.7155736         0.862
            3.7165025         0.865
            3.7174316         0.862
            3.7183610         0.869
            3.7192906         0.875
            3.7202204         0.878
            3.7211504         0.877
            3.7220807         0.870
            3.7230112         0.865
            3.7239420         0.867
            3.7248730         0.869
            3.7258042         0.863
            3.7267356         0.854
            3.7276673         0.851
            3.7285992         0.854
            3.7295314         0.845
            3.7304638         0.837
            3.7313964         0.849
            3.7323292         0.855
            3.7332623         0.844
            3.7341956         0.835
            3.7351292         0.841
            3.7360630         0.846
            3.7369970         0.849
            3.7379312         0.849
            3.7388657         0.849
            3.7398004         0.853
            3.7407354         0.850
            3.7416706         0.844
            3.7426060         0.852
            3.7435416         0.859
            3.7444775         0.861
            3.7454136         0.861
            3.7463500         0.860
            3.7472866         0.860
            3.7482234         0.857
            3.7491605         0.852
            3.7500978         0.841
            3.7510353         0.845
            3.7519730         0.852
            3.7529110         0.855
            3.7538493         0.847
            3.7547877         0.837
            3.7557264         0.850
            3.7566653         0.861
            3.7576045         0.856
            3.7585439         0.847
            3.7594836         0.846
            3.7604234         0.850
            3.7613635         0.858
            3.7623039         0.848
            3.7632444         0.842
            3.7641853         0.845
            3.7651263         0.839
            3.7660676         0.840
            3.7670091         0.857
            3.7679509         0.869
            3.7688928         0.869
            3.7698351         0.859
            3.7707775         0.847
            3.7717202         0.851
            3.7726631         0.862
            3.7736063         0.858
            3.7745497         0.851
            3.7754934         0.864
            3.7764372         0.873
            3.7773813         0.869
            3.7783257         0.865
            3.7792703         0.862
            3.7802151         0.861
            3.7811601         0.855
            3.7821054         0.856
            3.7830509         0.861
            3.7839967         0.859
            3.7849427         0.857
            3.7858889         0.864
            3.7868354         0.869
            3.7877821         0.865
            3.7887291         0.849
            3.7896763         0.833
            3.7906237         0.833
            3.7915713         0.841
            3.7925192         0.852
            3.7934674         0.852
            3.7944157         0.848
            3.7953643         0.855
            3.7963132         0.859
            3.7972622         0.856
            3.7982116         0.852
            3.7991611         0.856
            3.8001109         0.860
            3.8010609         0.862
            3.8020112         0.860
            3.8029617         0.856
            3.8039124         0.852
            3.8048634         0.851
            3.8058146         0.858
            3.8067661         0.863
            3.8077178         0.862
            3.8086697         0.854
            3.8096219         0.853
            3.8105743         0.854
            3.8115269         0.855
            3.8124798         0.846
            3.8134329         0.837
            3.8143863         0.844
            3.8153399         0.860
            3.8162937         0.861
            3.8172478         0.856
            3.8182021         0.856
            3.8191566         0.853
            3.8201114         0.856
            3.8210665         0.863
            3.8220217         0.869
            3.8229772         0.873
            3.8239330         0.872
