# BARR STD M 4800-600nm band cold test witness, ED127-W
# Measured at 77K: T%=92.77%, Cuton: 4473.9nm, Cutoff: 5063.2nm
#
# from t8.fig
#
4.2 0.169509238851241 
4.21 0.172580763140368 
4.22 0.180596693650075 
4.23 0.193075887290627 
4.24 0.209537200972286 
4.25 0.229499491605317 
4.26 0.252481616099985 
4.27 0.278002431366556 
4.28 0.306699182123779 
4.29 0.352810421536076 
4.3 0.417437385095952 
4.31 0.49625074616859 
4.32 0.585013238438716 
4.33 0.689646633965443 
4.34 0.834804826089645 
4.35 1.06566315827885 
4.36 1.54632768324247 
4.37 2.16199943800748 
4.38 2.93240834063283 
4.39 3.97438260587292 
4.4 5.5459912318113 
4.41 8.04208711116551 
4.42 10.9596190121579 
4.43 14.840357531136 
4.44 20.1752686733595 
4.45 27.7688432410064 
4.46 36.8051675226384 
4.47 47.3423893137015 
4.48 59.2587361815823 
4.49 71.5291538066078 
4.5 79.8098059682272 
4.51 85.5506758334711 
4.52 89.34533434519 
4.53 90.3486451920102 
4.54 90.4730627063289 
4.55 90.4731638418079 
4.56 90.4731599889324 
4.57 90.434709054301 
4.58 90.3672962298518 
4.59 90.3424276036276 
4.6 90.4834361628597 
4.61 90.6809198072843 
4.62 90.7164019587629 
4.63 90.401083225154 
4.64 90.0801010202183 
4.65 89.9554959367491 
4.66 89.8540122396783 
4.67 89.6605628058305 
4.68 89.4323394061771 
4.69 89.4698634717009 
4.7 89.6800618352377 
4.71 89.9303581963552 
4.72 90.1539925767557 
4.73 90.4185714194672 
4.74 90.8426121038158 
4.75 91.5598626896215 
4.76 91.9176216993125 
4.77 92.1266856562246 
4.78 92.2710032170793 
4.79 92.3300739884982 
4.8 92.2624091024135 
4.81 92.0710817408683 
4.82 91.7307067474936 
4.83 91.4057037717675 
4.84 91.5556419542071 
4.85 92.0894802118953 
4.86 92.5703787478575 
4.87 92.7460294455429 
4.88 92.8426465065957 
4.89 92.8601694915254 
4.9 92.8601694915254 
4.91 92.7894311077742 
4.92 92.3760938838445 
4.93 91.8179908618904 
4.94 91.1718344399567 
4.95 90.8533387568353 
4.96 90.6448858753666 
4.97 90.4901222007509 
4.98 90.5326600033139 
4.99 90.5738957425851 
5 90.0524594674894 
5.01 88.1236829909342 
5.02 84.0341842775493 
5.03 78.5186252690674 
5.04 69.0804443465485 
5.05 58.9222913487624 
5.06 46.9995942817907 
5.07 36.1778086004871 
5.08 25.6478267731385 
5.09 17.0521947710282 
5.1 11.6181319672681 
5.11 7.68265249376385 
5.12 5.23246581315951 
5.13 3.54066393621665 
5.14 2.28244632116824 
5.15 1.57888572878153 
5.16 1.20187320491478 
5.17 0.926267752196136 
5.18 0.651901546065591 
5.19 0.457253594364142 
5.2 0.430790960451986 
5.21 0.430790960451986 
5.22 0.430790960451986 
5.23 0.430496685810728 
5.24 0.429264932183859 
5.25 0.427091416841208 
5.26 0.423995918906748 
5.27 0.419998217504449 
5.28 0.415118091758283 
5.29 0.409375320792219 
5.3 0.402789683730229 
5.31 0.395380959696285 
5.32 0.387168927814357 
5.33 0.378173367208417 
5.34 0.368414057002434 
5.35 0.357910776320379 
5.36 0.346683304286226 
5.37 0.334751420023943 
5.38 0.322134902657501 
5.39 0.308853531310874 
5.4 0.294927085108031 
