  1.962500  0.00000000
  1.983800  0.00787641
  2.000000  0.01958967
  2.007500  0.04547612
  2.015800  0.10947986
  2.030000  0.58313885
  2.035000  0.68592232
  2.045000  0.77532722
  2.055000  0.64455177
  2.062500  0.72375771
  2.080000  0.86587502
  2.089000  0.88620926
  2.100000  0.92280205
  2.112500  0.92903427
  2.139500  0.88789703
  2.152500  0.88196770
  2.185000  0.91462334
  2.210000  0.91947006
  2.235000  0.94770317
  2.257500  0.93438721
  2.290000  0.95959778
  2.323800  0.93058548
  2.332500  0.94249901
  2.343800  0.93387123
  2.348800  0.89938362
  2.357500  0.67043968
  2.369500  0.18038059
  2.376300  0.09573532
  2.382500  0.03788256
  2.390000  0.01881710
  2.400000  0.00487001
  2.413800  0.00000000
