 3.60  6.75e-007  3.60e-007
 3.61  1.17e-006  6.24e-007
 3.62  1.21e-006  6.46e-007
 3.63  1.42e-006  7.59e-007
 3.64  1.11e-006  5.93e-007
 3.65  1.12e-006  5.95e-007
 3.66  7.20e-007  3.85e-007
 3.67  1.25e-006  6.67e-007
 3.68  4.42e-010  4.42e-010
 3.69  1.21e-008  8.56e-009
 3.70  1.21e-008  8.50e-009
 3.71  1.53e-008  1.08e-008
 3.72  2.84e-008  2.01e-008
 3.73  3.59e-008  2.54e-008
 3.74  5.03e-008  3.56e-008
 3.75  1.25e-007  8.86e-008
 3.76  9.29e-008  6.57e-008
 3.77  1.34e-007  9.45e-008
 3.78  3.27e-007  2.31e-007
 3.79  3.88e-007  2.74e-007
 3.80  1.41e-006  9.98e-007
 3.81  2.30e-006  1.62e-006
 3.82  3.89e-006  2.74e-006
 3.83  5.11e-006  3.61e-006
 3.84  7.64e-006  5.40e-006
 3.85  1.28e-005  9.02e-006
 3.86  2.02e-005  1.43e-005
 3.87  2.35e-005  1.26e-005
 3.88  5.05e-005  3.57e-005
 3.89  1.08e-004  7.66e-005
 3.90  1.55e-004  1.09e-004
 3.91  2.23e-004  1.20e-004
 3.92  4.18e-004  2.23e-004
 3.93  5.68e-004  3.03e-004
 3.94  4.41e-004  2.36e-004
 3.95  1.31e-003  9.29e-004
 3.96  9.27e-003  6.29e-004
 3.97  1.15e-002  6.08e-004
 3.98  1.46e-002  5.28e-004
 3.99  1.87e-002  4.82e-004
 4.00  2.45e-002  6.58e-004
 4.01  3.45e-002  1.13e-003
 4.02  5.05e-002  1.83e-003
 4.03  7.51e-002  2.81e-003
 4.04  1.10e-001  4.11e-003
 4.05  1.57e-001  5.75e-003
 4.06  2.25e-001  7.92e-003
 4.07  3.07e-001  1.02e-002
 4.08  3.97e-001  1.24e-002
 4.09  4.94e-001  1.37e-002
 4.10  5.89e-001  1.38e-002
 4.11  6.73e-001  1.27e-002
 4.12  7.42e-001  1.09e-002
 4.13  7.98e-001  9.25e-003
 4.14  8.39e-001  8.31e-003
 4.15  8.63e-001  8.17e-003
 4.16  8.81e-001  7.78e-003
 4.17  8.91e-001  7.17e-003
 4.18  8.96e-001  6.25e-003
 4.19  8.95e-001  5.55e-003
 4.20  8.94e-001  5.27e-003
 4.21  8.89e-001  5.99e-003
 4.22  8.83e-001  7.97e-003
 4.23  8.76e-001  9.16e-003
 4.24  8.77e-001  8.52e-003
 4.25  8.80e-001  6.88e-003
 4.26  8.81e-001  6.45e-003
 4.27  8.78e-001  7.33e-003
 4.28  8.78e-001  7.81e-003
 4.29  8.81e-001  7.73e-003
 4.30  8.88e-001  6.54e-003
 4.31  8.95e-001  5.32e-003
 4.32  9.02e-001  4.49e-003
 4.33  9.07e-001  4.71e-003
 4.34  9.10e-001  5.23e-003
 4.35  9.11e-001  5.80e-003
 4.36  9.08e-001  5.90e-003
 4.37  9.05e-001  5.77e-003
 4.38  9.00e-001  5.36e-003
 4.39  8.92e-001  4.83e-003
 4.40  8.85e-001  4.53e-003
 4.41  8.79e-001  4.15e-003
 4.42  8.74e-001  3.78e-003
 4.43  8.71e-001  3.52e-003
 4.44  8.66e-001  3.15e-003
 4.45  8.64e-001  2.82e-003
 4.46  8.65e-001  2.89e-003
 4.47  8.70e-001  3.31e-003
 4.48  8.78e-001  4.51e-003
 4.49  8.89e-001  5.85e-003
 4.50  9.01e-001  7.26e-003
 4.51  9.16e-001  7.95e-003
 4.52  9.28e-001  8.08e-003
 4.53  9.42e-001  7.52e-003
 4.54  9.53e-001  6.59e-003
 4.55  9.62e-001  5.86e-003
 4.56  9.69e-001  5.86e-003
 4.57  9.74e-001  6.31e-003
 4.58  9.77e-001  6.96e-003
 4.59  9.77e-001  7.38e-003
 4.60  9.75e-001  7.49e-003
 4.61  9.72e-001  7.18e-003
 4.62  9.66e-001  6.44e-003
 4.63  9.60e-001  5.61e-003
 4.64  9.53e-001  4.88e-003
 4.65  9.46e-001  4.46e-003
 4.66  9.39e-001  4.30e-003
 4.67  9.35e-001  4.27e-003
 4.68  9.32e-001  4.24e-003
 4.69  9.31e-001  4.10e-003
 4.70  9.31e-001  4.10e-003
 4.71  9.34e-001  4.35e-003
 4.72  9.39e-001  4.71e-003
 4.73  9.45e-001  5.03e-003
 4.74  9.55e-001  5.01e-003
 4.75  9.62e-001  4.98e-003
 4.76  9.72e-001  4.88e-003
 4.77  9.80e-001  4.82e-003
 4.78  9.86e-001  4.72e-003
 4.79  9.88e-001  4.68e-003
 4.80  9.90e-001  4.59e-003
 4.81  9.89e-001  5.13e-003
 4.82  9.89e-001  5.87e-003
 4.83  9.89e-001  6.87e-003
 4.84  9.89e-001  7.73e-003
 4.85  9.89e-001  8.40e-003
 4.86  9.90e-001  8.51e-003
 4.87  9.91e-001  8.28e-003
