5.1287    Hu !7d   
4.6725    Hu !7e
4.6538    Pf !7b    
4.3765    Hu12 
4.1708    Hu13 
4.05230   Br !7a
4.0209    Hu14 
3.9076    Hu15 
3.8194    Hu16 
3.7494    Hu17 
3.7405    Pf !7c
3.6926    Hu18 
3.6459    Hu19 
3.6070    Hu20 
3.2970    Pf !7d
3.0392    Pf !7e
2.8730    Pf11 
2.7583    Pf12 
2.6751    Pf13 
2.62592   Br !7b
2.6126    Pf14 
2.5643    Pf15 
2.5261    Pf16 
2.4953    Pf17 
2.4610    Pf18 
2.4490    Pf19 
2.4314    Pf20 
2.16609   Br !7c
1.94509   Br !7d
1.87561   Pa !7a
1.81791   Br !7e
1.73668   Br 10  
1.68111   Br 11  
1.64117   Br 12  
1.61137   Br 13  
1.58848   Br 14  
1.57050   Br 15   
1.55608   Br 16   
1.54431   Br 17   
1.53460   Br 18   
1.52648   Br 19   
1.51960   Br 20   
1.28216   Pa !7b
1.09411   Pa !7c
1.00522   Pa !7d
0.954860  Pa !7e
0.923155  Pa 09   
0.901738  Pa 10  
0.886522  Pa 11  
0.875287  Pa 12  
0.866740  Pa 13  
0.860075  Pa 14  
0.854774  Pa 15  
0.850483  Pa 16  
0.846959  Pa 17  
0.844028  Pa 18  
0.841563  Pa 19  
0.839471  Pa 20  
0.656461  H !7a
0.486268  H !7b
0.434168  H !7c
0.410289  H !7d
0.397119  H !7e
0.389015  H 8
0.383647  H 9
0.379898  H 10
