PLATE   MJD FIBERID             Z       COMMENT
  297 51959     520      2.524200     S/N=15.27
  297 51959     527     0.8685000     S/N=21.23
  300 51666      58      4.047800     S/N= 1.54
  300 51666     414      3.817500     S/N= 4.41
  300 51666     543      3.704900     S/N= 3.50
  300 51666      22      2.426800     S/N=17.31
  300 51666      75      1.443500     S/N=36.18
  300 51666      97      4.422900     S/N= 1.60
  300 51666     135     0.5992000     S/N=42.28
  300 51666     140     0.5160000     S/N=22.87
  300 51666     461      3.608000 S/N= 4.96 BAL
  300 51666     472      4.284800     S/N= 6.07
  300 51666     572      1.085100     S/N=29.79
  301 51942      39      2.463800     S/N=24.01
  301 51942     121      1.774500     S/N=24.09
  301 51942     158      1.555900     S/N=26.51
  301 51942     142     0.1631000     S/N=28.54
  301 51942     267      2.331700 S/N=14.92 BAL
  301 51942     304      4.433900     S/N= 1.23
  301 51942     369      1.215100     S/N=30.31
  301 51942     385      2.495400     S/N=20.91
  301 51942     408      2.010500     S/N=20.25
  301 51942     460      3.900400     S/N= 5.33
  301 51942     457     0.2438000     S/N=26.89
  301 51942     575     0.6669000     S/N=36.97
  301 51942     592      2.407400     S/N=16.19
  304 51609     637      3.673500     S/N= 5.42
  309 51994      43      2.228000     S/N=24.17
  309 51994     116     0.1328000     S/N=29.39
  309 51994     250      1.813000     S/N=26.73
  309 51994     360      1.655500     S/N=23.06
  309 51994     423      2.540400     S/N=15.95
  309 51994     466      2.648200     S/N=11.88
  309 51994     509     0.6009000     S/N=31.93
  309 51994     592      2.748700     S/N=10.17
  310 51990     129     0.8590000     S/N=22.12
  310 51990     424      1.007800     S/N=26.89
  310 51990     541      3.352200     S/N=10.00
  310 51990      39    0.05440000     S/N=34.74
  310 51990     350      3.016600     S/N=12.23
  352 51694     210      3.664900     S/N= 3.21
  352 51694     311      2.381100 S/N=17.90 BAL
  352 51694     638     0.2174000     S/N=29.42
  354 51792      89      1.128500     S/N=25.34
  354 51792     142     0.9245000     S/N=26.04
  354 51792     280      4.427000     S/N= 1.01
  358 51818      69      3.141500     S/N= 6.48
  358 51818     193      3.740500     S/N= 2.70
  358 51818     335      2.814700 S/N=16.00 BAL
  358 51818     420      2.806800     S/N=20.58
  358 51818     534      2.124100     S/N=19.02
  358 51818     605      3.222400     S/N= 8.36
  359 51821     189      2.557400     S/N=24.20
  359 51821     207      1.814800     S/N=27.75
  359 51821     218     0.6563000     S/N=21.14
  359 51821     525      1.981800     S/N=22.42
  359 51821     639      3.424800     S/N=27.96
  362 51999      23      2.938400     S/N=12.09
  362 51999      90      1.175000     S/N=30.35
  362 51999     195      2.623500     S/N=11.94
  362 51999     215     0.9544000     S/N=24.75
  362 51999     225      3.424900     S/N=31.25
  362 51999     380      1.071400     S/N=24.04
  366 52017      36      4.880000     S/N= 1.07
  366 52017      91      1.341600     S/N=26.17
  366 52017     545      3.232000     S/N= 5.62
  366 52017     584     0.4911000     S/N=25.88
  367 51997      14      1.981000     S/N=30.16
  367 51997     184      2.098800 S/N=24.35 BAL
  367 51997     188     0.9089000     S/N=35.46
  367 51997     197     0.2728000     S/N=32.30
  367 51997     229      4.596400     S/N= 1.98
  367 51997     248     0.9379000     S/N=22.17
  367 51997     275      2.932600 S/N= 7.14 BAL
  367 51997     277     0.3228000     S/N=27.39
  367 51997     295     0.2503000     S/N=24.86
  367 51997     306     0.8547000     S/N=34.40
  367 51997     349      4.210000     S/N= 1.88
  367 51997     436      3.870000 S/N= 3.00 BAL
  367 51997     472     0.3595000     S/N=57.53
  367 51997     484     0.8258000     S/N=43.35
  367 51997     600     0.9468000     S/N=29.28
  383 51818     257     0.1503000     S/N=31.67
  383 51818     592      3.678400     S/N= 3.68
  384 51821     334      2.639100     S/N=11.87
  384 51821     384      1.486200     S/N=23.54
  384 51821     558      1.122300     S/N=22.95
  384 51821     595      1.095200     S/N=26.54
  385 51877       6     0.7894000     S/N=44.19
  385 51877      30      3.498100     S/N=21.72
  385 51877      51      3.206800     S/N=10.57
  385 51877      61     0.5027000     S/N=33.70
  385 51877     112      1.370000     S/N=24.33
  385 51877     131     0.3192000     S/N=29.98
  385 51877     139     0.5243000     S/N=31.23
  385 51877     204      2.085300     S/N=34.38
  385 51877     215      3.643800     S/N= 5.17
  385 51877     257      2.256700     S/N=15.83
  385 51877     275     0.4826000     S/N=32.69
  385 51877     435      3.050200     S/N=15.74
  385 51877     454      2.781300 S/N= 8.93 BAL
  385 51877     492      3.956800     S/N= 2.94
  385 51877     587      1.237500     S/N=48.78
  387 51791     200     0.4790000     S/N=21.93
  387 51791     315      2.940000 S/N= 9.91 BAL
  387 51791     383      4.355000     S/N= 1.78
  387 51791     472      2.031300     S/N=20.17
  387 51791     556      3.070500     S/N=12.40
  388 51793     114      3.155800     S/N=10.53
  388 51793     430     0.8855000     S/N=26.23
  388 51793     487     0.2631000     S/N=26.05
  389 51795     178      2.089600     S/N=24.42
  389 51795     196      1.700900     S/N=21.61
  389 51795     339      2.305800 S/N=12.63 BAL
  389 51795     409     0.3626000     S/N=28.90
  389 51795     479      1.550400     S/N=26.72
  390 51900     178      2.162000     S/N=20.74
  390 51900     180      2.490000     S/N=16.70
  390 51900     271      4.320000     S/N= 3.07
  390 51900     365      2.312100     S/N=15.77
  390 51900     376      1.136000     S/N=25.93
  390 51900     443      1.829000     S/N=19.68
  390 51900     479      1.110800     S/N=23.37
  390 51900     537      1.244800     S/N=34.69
  390 51900     559      2.408700     S/N=16.88
  390 51900     567     0.7279000     S/N=27.34
  390 51900     587     0.4004000     S/N=61.21
  392 51793     252      1.292100     S/N=31.07
  392 51793     259     0.9372000     S/N=24.05
  392 51793     392      1.627200     S/N=27.42
  392 51793     440      2.671100     S/N=20.92
  392 51793     464      3.234900     S/N= 8.34
  393 51794     181      2.806000     S/N=13.60
  393 51794     572      2.152100 S/N=19.36 BAL
  393 51794     588      2.878600     S/N=11.41
  394 51876     167      1.402300     S/N=20.01
  394 51876     209      1.880600     S/N=27.20
  394 51876     208      1.571900     S/N=27.01
  394 51876     256      4.340000     S/N= 2.53
  394 51876     288      2.524900     S/N=19.93
  394 51876     336      2.328600     S/N=20.31
