# BOSS QSO PCA redshift training sample input file.
# Generated on 20 June 2011 by Adam S. Bolton, Univ. of Utah.
# Based on matching all BOSS spectra against the list of
# re-observed SDSS-1 redshifted quasars described at:
#   https://trac.sdss3.org/wiki/BOSS/obstemplates
# and verifying data quality of the input spectra.
#
# Used to generate spEigenQSO-55732.fits for inclusion in
# IDLSPEC2D redshift pipeline analysis, with the IDL command
#  pca_qso, inputfile=thisfile, wavemin=450., wavemax=10400., niter=10
#
# plate  mjd   fiberid   z
#-------------------------
 4225  55455   216   2.496400
 4215  55471   924   2.496700
 4214  55451   820   2.498100
 4217  55478   302   2.499300
 4233  55449   441   2.501500
 4210  55444   320   2.502700
 3587  55182   140   2.504300
 4228  55484   298   2.504700
 4224  55481   998   2.505100
 4200  55499   256   2.522400
 4200  55499   804   2.528100
 4196  55478   682   2.532700
 4213  55449   332   2.535200
 4206  55471   747   2.535300
 4230  55483   538   2.537900
 4230  55483   350   2.541700
 4197  55479   464   2.543800
 4195  55452   276   2.547400
 4193  55476   466   2.550500
 4217  55478   926   2.551400
 4230  55483   719   2.556300
 4220  55447   854   2.561300
 3606  55182   901   2.561800
 4216  55477   550   2.562500
 4236  55479   906   2.563100
 4237  55478   798   2.563100
 4228  55484   702   2.572700
 4193  55476   482   2.580700
 4235  55451   792   2.581900
 4237  55478   806   2.591100
 4235  55451   738   2.594500
 4208  55476   998   2.595200
 3650  55244   399   2.605500
 4213  55449   569   2.606300
 4218  55479   696   2.616500
 4234  55478   417   2.616900
 4200  55499   314   2.617300
 4208  55476   449   2.620900
 4193  55476   789   2.639100
 4218  55479   192   2.640600
 4212  55447   638   2.641200
 4237  55478   280   2.645200
 4196  55478   454   2.646100
 4194  55450   998   2.646700
 4224  55481     9   2.648600
 4205  55454   166   2.652100
 4210  55444   548   2.652800
 4215  55471   512   2.653600
 3615  55445   964   2.658900
 4193  55476   972   2.667400
 3588  55184   450   2.670700
 3588  55184   511   2.670900
 4213  55449   348   2.678100
 4199  55481   728   2.678500
 4232  55447   764   2.682700
 4220  55447   742   2.686700
 4235  55451   116   2.688000
 4213  55449   776   2.697500
 4200  55499   590   2.698400
 4236  55479   506   2.702200
 3588  55184   726   2.711400
 4224  55481    66   2.711800
 4198  55480    82   2.717000
 4218  55479   202   2.717100
 4212  55447   580   2.733200
 4197  55479   774   2.735500
 4221  55443   507   2.736400
 4232  55447   498   2.736700
 4205  55454   164   2.738000
 4196  55478   618   2.741300
 4215  55471   350   2.743800
 4220  55447   966   2.746400
 4233  55449   852   2.749200
 4216  55477   424   2.752700
 4231  55444   154   2.755800
 4233  55449   416   2.756000
 4229  55501   352   2.756500
 4225  55455   438   2.759300
 4239  55458   443   2.772300
 4213  55449   918   2.776400
 4211  55446   388   2.779400
 3587  55182   310   2.784200
 3615  55179   666   2.786600
 3609  55201   796   2.789200
 4234  55478   560   2.791600
 3590  55201   469   2.797900
 4234  55478   308   2.800100
 4235  55451   996   2.801800
 4194  55450   386   2.802300
 4204  55470   162   2.811800
 3590  55201   718   2.814100
 3588  55184   486   2.818300
 4224  55481   398   2.819400
 3606  55182   872   2.823400
 4235  55451   308   2.823800
 4198  55480   570   2.843700
 4227  55481   676   2.845600
 4223  55451   968   2.849500
 4224  55481   682   2.850000
 4236  55479   488   2.850100
 4218  55479   818   2.851500
 4212  55447   644   2.851600
 4221  55443   247   2.853800
 4214  55451   722   2.860900
 4223  55451   724   2.878500
 4237  55478   238   2.879200
 4221  55443   692   2.882300
 4217  55478   180   2.889200
 4196  55478   578   2.891400
 4234  55478   872   2.892200
 4228  55484   436   2.892800
 4229  55501   117   2.894000
 4200  55499    47   2.903300
 4196  55478   142   2.904700
 4220  55447   166   2.905600
 3588  55184   512   2.906900
 4199  55481   836   2.911400
 4200  55499   576   2.911700
 4200  55499   510   2.917600
 4219  55480    14   2.924100
 4218  55479   938   2.927800
 4195  55452   534   2.932600
 4215  55471   137   2.936800
 4213  55449   958   2.946800
 4204  55470    40   2.948300
 3615  55179   476   2.953600
 4194  55450   582   2.958900
 3615  55208   626   2.969200
 4208  55476   424   2.969900
 4226  55475   866   2.971700
 4226  55475   826   2.972500
 4208  55476   330   2.972800
 4194  55450   198   2.977000
 4232  55447   850   2.979500
 4231  55444   964   2.986900
 4209  55478   338   2.989000
 4208  55476   942   2.992900
 3609  55201   940   3.007700
 3639  55205   464   3.008800
 4207  55475   610   3.010900
 4216  55477   410   3.011500
 4193  55476   963   3.017300
 4203  55447   134   3.017800
 4236  55479   934   3.020900
 4214  55451    52   3.023600
 4203  55447   879   3.025300
 4198  55480   678   3.032500
 4219  55480   543   3.038400
 4207  55475   300   3.042500
 4226  55475   686   3.043100
 4223  55451   659   3.045600
 4213  55449   724   3.051500
 3606  55182   380   3.055700
 4208  55476   901   3.055900
 4216  55477   856   3.057000
